ID,TARGET
24,-6.268776337492199
28,-4.086959153142276
29,-4.572996744473513
33,-7.154296597463088
58,-1.3513609281328893
71,-8.016002128294694
86,-5.4163579459061495
88,-5.151303126799873
89,-7.034469307107124
107,-8.073610239835427
108,-2.0967322648623026
109,-9.614964682497863
110,-6.166731543106318
113,-7.984559216111949
114,-4.244792754496328
115,-5.316715939855218
120,-6.692369164920955
136,-0.08662151413494837
147,-5.778617012161161
150,-7.59320862176329
158,-5.789532341901278
164,-4.019089816744018
167,-2.024111208016664
169,-4.549553935092548
174,-7.662722677229026
183,-9.747102463178633
184,-4.038461806186072
185,-1.6029102913955744
189,-7.703121233726825
192,-6.44266903396752
195,-9.428233625338981
208,-4.892010162341326
209,-9.471226192500112
217,-1.2552976015926525
219,-2.452371052998115
221,-10.741551717262746
223,-7.39507231297131
227,-5.265716629654174
229,-9.255079842577699
243,-3.9140363893730545
251,-8.29036722633677
257,-7.395239649553491
258,-4.544996760047376
262,-6.010797915085194
265,-4.851552298019485
274,-9.609876360024014
286,-4.700278793224958
310,-6.684348079177355
311,-7.330190899746047
317,-1.0550970390267376
323,-1.0282646747366917
327,-4.610378248124576
330,-6.761997603537447
334,-8.107361024141206
343,-7.772656492138365
346,-1.8365385529136213
350,-8.058772141454945
352,-3.957580927033294
357,-6.555206893909401
373,-8.110904673274833
384,-6.486877743025431
388,-9.160637501222698
391,-6.020805367860188
399,-4.594982105667663
406,-5.523902324289195
412,-7.066695540083411
413,-2.142938291867124
441,-8.907686281579002
445,-5.308712100690898
460,-4.097364627931325
467,-2.1254706583471252
470,-9.004802000070901
474,-4.451284046594637
478,-5.2703633236549
480,-6.810694851566782
482,-8.894568455257248
491,-6.8687404464305
494,-6.240992703179119
495,-7.719433424839273
503,-2.0811753310810195
504,-1.7031297685285816
507,-7.65000096502355
512,-0.16890268500841232
514,-8.531175038136572
516,-2.3348695125820513
517,-9.064412715343263
523,-3.738176391492791
524,-7.205961912155397
533,-7.162445271200431
549,-7.607237228589096
559,-5.855457217622014
566,-8.754085826298857
570,-9.940012485143303
582,-8.670325104830987
586,-10.200412579607665
590,-3.6766092090856843
593,-5.037954149953633
612,-7.913596076906656
615,-2.628177590338637
633,-9.081855696710354
642,-3.9954963354542468
644,-0.9540386784133627
646,-5.106238622227549
655,-10.940031473103861
666,-4.370117804586712
673,-6.292603056452465
685,-9.096477421317928
702,-4.959219603715407
707,-7.164652068511711
723,-10.10012376527596
728,-11.876219787899977
729,-6.051493261949529
732,-7.650564415881391
735,-2.9051120684236302
740,-3.117361260879745
742,-4.256966269148635
747,-4.30259464426201
750,-6.705875726316462
752,-8.185558263324696
755,-2.624959740720187
766,-1.3773436786024544
771,-8.121295134302551
775,-6.451191893596655
776,-0.4047178986092137
780,-8.24260660993737
783,-7.665298310469144
787,-6.212781958929528
798,-5.014545980317407
800,-9.426982805112702
810,-5.385783665485105
820,-5.7453777576353104
823,-7.209918108770771
830,-7.802250292600027
834,-7.304134414737288
835,-7.530406768771853
837,-3.6158912080796144
838,-4.56982160372038
842,-9.548730267839188
847,-4.7846689631031865
859,-13.645150146211456
870,-4.210388863817644
889,-9.676356242643797
892,-8.587836047045226
894,-9.27766179452906
903,-10.276914143847351
904,-6.404250115492879
905,-6.998479039794699
907,-8.02019882726322
908,-3.3707871999311494
911,-5.594011004188851
918,-2.913751980388795
930,-6.465196302952652
933,-10.642805411374606
936,-5.529952053108868
943,-5.488655211789045
956,0.803252681454081
961,-4.033094247285484
967,-2.6892656528081
972,-7.898454413555462
975,-6.743245071815955
981,-9.384773422564512
991,-12.02236036385462
994,-3.263288203285503
997,-4.850451410635236
1003,-2.52094397940402
1008,-8.31910715489584
1011,-4.702231909751151
1015,-4.6372970248337975
1016,-2.9676503953311255
1018,-11.673049426749865
1029,-5.0481439669141395
1032,-4.669127457178945
1037,-6.695741025544651
1039,-6.362897342220933
1045,-2.477804494249926
1053,-5.950104305519103
1060,-3.2434860603083324
1064,-11.802597490130168
1066,-8.405558997057005
1073,-6.622559753594304
1075,-4.501498708039506
1079,-4.009961710869976
1083,-2.7440707269569677
1086,-7.139749963295778
1092,-7.375293687963882
1094,-8.490902882980523
1098,-8.737457451240127
1099,-6.541865535951431
1102,-6.796218941285527
1110,-8.81558190277578
1111,-7.143740338182356
1116,-6.615843331274364
1119,-7.1211750841885815
1128,-3.4115102386585643
1130,-6.250779989033185
1137,-5.105093445822018
