ID,TARGET
24,-6.198780768694851
28,-3.935999751492689
29,-4.561569916650515
33,-7.537311527051342
58,-1.6414849675231749
71,-7.636404030482153
86,-5.6117602902657255
88,-5.729266979678697
89,-7.145155824079153
107,-7.922456166019679
108,-2.463560422339316
109,-9.775765922406881
110,-6.231971516847772
113,-7.951933682809341
114,-4.1785372708335125
115,-5.452539683670004
120,-6.822685354726341
136,-0.21954698748904528
147,-6.155546037005637
150,-7.620138859799134
158,-5.857236961149027
164,-4.241822666431422
167,-2.3771100630740203
169,-4.475072648582977
174,-7.527439128353793
183,-9.808870098986903
184,-3.812314136804962
185,-1.6640350670793713
189,-7.526203127644456
192,-6.541984731881859
195,-9.013899557618434
208,-4.767012610180237
209,-9.193209446278649
217,-1.6906607241200353
219,-2.833673455983584
221,-10.274352636760334
223,-6.944369490879757
227,-5.59747669988624
229,-9.412148554942332
243,-3.94022151575915
251,-8.361969188619398
257,-7.188704304127793
258,-4.329438063887681
262,-6.339985220209629
265,-5.061341693400004
274,-9.660628276913526
286,-4.45824608566458
310,-6.66778920725441
311,-7.5507517574850676
317,-1.3187263402043217
323,-1.3220159910422675
327,-4.6046299846122
330,-7.128296684814734
334,-7.868005456273623
343,-7.58020436459158
346,-2.1318587640173154
350,-7.973135782173172
352,-4.10286285296424
357,-7.041099648126536
373,-8.371938728205036
384,-6.657255563186461
388,-8.836269913869172
391,-5.718841576522819
399,-4.453160637401588
406,-5.825143750410113
412,-6.8555859647382915
413,-2.2248735880503117
441,-8.66562456235279
445,-5.817017559282563
460,-4.685873022463667
467,-2.170372839999577
470,-9.242964794065152
474,-4.719245795289402
478,-5.185541563067627
480,-6.912326541016939
482,-8.66767207103549
491,-6.5695567612419214
494,-5.634034249710941
495,-7.502225402191063
503,-2.4070744634314463
504,-1.9246512175941506
507,-7.659978053392624
512,-0.3717002349330268
514,-8.414434176048879
516,-2.4767104450771367
517,-8.855749002012466
523,-4.618906924962617
524,-7.341383523223257
533,-7.604717015404179
549,-8.435172302141998
559,-5.973173877303195
566,-8.768586327082174
570,-9.453185761679611
582,-8.62479129353411
586,-10.156331898267526
590,-3.772467250258915
593,-5.2775667744901495
612,-8.019431696506299
615,-3.197221346541632
633,-8.84568157194545
642,-4.390619924073275
644,-1.469849499275633
646,-5.7592608705496495
655,-11.845292112477901
666,-4.785222752487449
673,-6.362160889648204
685,-9.026078233737547
702,-4.935967179650191
707,-6.817553727694833
723,-10.156449226935404
728,-11.281843641130045
729,-6.157817213211779
732,-7.417757973384188
735,-3.014795398587461
740,-3.082036014048177
742,-4.120353680514399
747,-4.481862388009754
750,-6.690213015612463
752,-8.192326025951207
755,-2.670485060864828
766,-1.498502931866222
771,-8.093886068976433
775,-6.7289372765075255
776,-0.5903493664234183
780,-8.029587779289844
783,-7.685354169099362
787,-6.798891409198919
798,-5.291768256174991
800,-9.352835443560291
810,-5.798814877950487
820,-6.0128032266582405
823,-7.1176171348778405
830,-7.9863855921615245
834,-7.384602569885993
835,-7.498614657697286
837,-3.7792189322714256
838,-4.8519175926111044
842,-9.204313390579959
847,-4.756273457149488
859,-13.956026935420498
870,-4.909746639710802
889,-9.853887633530979
892,-8.140925337734316
894,-8.354523017959062
903,-9.462284776382521
904,-6.494244779110371
905,-7.144272202426465
907,-7.787817886604362
908,-4.4097357699407445
911,-5.497964948030035
918,-2.934698142637062
930,-6.415531284952721
933,-10.301001666757209
936,-5.661249019191381
943,-5.500956124583961
956,-0.6570207826533624
961,-4.008577640786981
967,-2.6820509542760784
972,-7.878977952741217
975,-6.451273977031688
981,-9.682964718414187
991,-11.471374650901787
994,-3.4386432601202928
997,-5.311989945397968
1003,-2.213069416612975
1008,-8.304067523472071
1011,-4.909961719052001
1015,-4.866816982063738
1016,-3.2653293151419507
1018,-11.245957125902168
1029,-4.6945672501232245
1032,-4.984066488280687
1037,-6.544610455498047
1039,-6.5533593582565395
1045,-2.5557920052589376
1053,-6.106570234867552
1060,-3.505100631002228
1064,-11.125813314876115
1066,-8.4877254893325
1073,-6.3489141049074584
1075,-5.101267489790028
1079,-4.24400810790311
1083,-2.651876721052719
1086,-7.292559592675451
1092,-7.365573329528578
1094,-8.474093834104515
1098,-8.53603370039993
1099,-6.611090876006995
1102,-6.631967370106782
1110,-8.880493251088996
1111,-7.051077160042305
1116,-6.884659157056007
1119,-7.284208486153506
1128,-3.314051758747822
1130,-6.602762771281717
1137,-4.985345617379874
1149,-1.5419262829082174
1151,-4.380956905073063
1159,-4.230413757938056
1168,-6.705975148904565
1181,-6.506219664677513
1189,-4.108224081378438
1190,-3.8374187153554473
1192,-5.591743340392994
1196,-4.2421044267290915
1199,-6.653550304877021
1201,-4.981442928343097
1208,-5.9981509086515254
1230,-5.181556388637687
1231,-8.091737532384732
1244,-2.141373455497639
1246,-7.0150751701061465
1250,-7.710912154091735
1260,-6.912379293802563
1270,-8.801281299390979
