ID,TARGET
24,-5.647858903976996
28,-3.4983105113222273
29,-4.17585664526606
33,-6.685456718164708
58,-1.223898513346953
71,-7.535942386512211
86,-4.836904642879036
88,-5.708176508340528
89,-6.626292302888022
107,-8.154401857855891
108,-2.230898610030031
109,-9.713297968053025
110,-5.816051619611186
113,-7.442719319031381
114,-4.17280976134966
115,-4.677383782853881
120,-6.34490042278271
136,0.16124356374385487
147,-5.54063832551517
150,-7.054926834128637
158,-5.429490885017845
164,-3.8209512294760812
167,-1.7511819992325668
169,-3.6438550333931254
174,-6.916419489910707
183,-9.565499747503244
184,-3.343885632811504
185,-1.4798174014471464
189,-7.654602193219491
192,-5.914437160597033
195,-8.654989710731032
208,-3.7460064628287406
209,-8.761683348315312
217,-1.3780831215881721
219,-2.2682274732699805
221,-10.675293138172352
223,-5.765678465831835
227,-5.20065816945425
229,-9.543849171129617
243,-3.307854020524039
251,-8.062568559492975
257,-6.465007991236819
258,-3.775269366527291
262,-5.770735771202157
265,-4.662951400269653
274,-9.126167522566194
286,-4.055615885116525
310,-5.990094408481064
311,-7.65409675181807
317,-0.8521755241679494
323,-1.1092743632753521
327,-4.012071756628089
330,-6.991098468669722
334,-7.57031354456704
343,-7.455120610808918
346,-1.5872620845859826
350,-7.037367053023467
352,-3.5606011930321966
357,-6.774856065785911
373,-8.23834811368106
384,-5.792268253923727
388,-8.192614948253704
391,-5.567628302111671
399,-3.8654809254724682
406,-4.741650616256882
412,-6.372456165267336
413,-1.9817806951939205
441,-8.471421969466196
445,-4.869268545545365
460,-4.0992214790892465
467,-1.815564624966756
470,-8.47917167918337
474,-3.9256923822303373
478,-4.6974411093551725
480,-6.975408760417742
482,-8.873899893946586
491,-5.835223111159774
494,-5.10848943597337
495,-7.390897899497012
503,-1.8361182301531027
504,-1.9098536175631247
507,-7.270447357311552
512,-0.05428832154264552
514,-7.969318246858192
516,-1.911153216224884
517,-8.896743262632356
523,-4.71678575363347
524,-7.1878686832001355
533,-6.796464296969441
549,-8.404398855578478
559,-5.462711368753003
566,-8.728821376352984
570,-8.899458359728046
582,-8.46643439514601
586,-9.445508201340116
590,-2.677701135721106
593,-4.8009816341536755
612,-7.3121580273475155
615,-2.5762641483827062
633,-8.744233252940969
642,-3.5610882035829325
644,-0.9477405104197888
646,-5.126652964921766
