ID,TARGET
24,-5.877635994055083
28,-4.068497706481935
29,-3.8710683474950285
33,-6.639511442125561
58,-1.0797122588257182
71,-7.597331551022579
86,-4.413887513149094
88,-5.755938131208421
89,-6.623946494455298
107,-8.169620919809336
108,-1.0215298461349809
109,-9.73549441004856
110,-6.112224507329656
113,-7.590794802488177
114,-4.144826685054694
115,-4.7364518530065425
120,-5.579637106852045
136,-0.2278113405229919
147,-5.8897491865021765
150,-6.902491568715553
158,-5.432357138270384
164,-3.875242137383622
167,-0.835738545890784
169,-3.653689629542591
174,-6.74635502685905
183,-9.566656255352447
184,-3.4264936854035
185,-1.5022840248626903
189,-7.41645657198689
192,-6.506065330071006
195,-8.485523022418942
208,-4.12691695789004
209,-8.560277409407762
217,-1.5961375028477036
219,-2.4871220717207283
221,-10.51313219829683
223,-8.11270887616412
227,-5.380629721477696
229,-9.503807012550041
243,-2.833308560710314
251,-7.879003377837343
257,-6.754072209408829
258,-3.5292255111093147
262,-5.682889999729108
265,-4.285232722353511
274,-9.618427407785466
286,-4.111854550753105
310,-5.584306984555834
311,-6.9761874838766085
317,-0.3161639134891917
323,-0.9246829197851523
327,-4.375139458288826
330,-8.232887667468713
334,-7.525093156450813
343,-7.933098598238125
346,-0.9711826955605449
350,-7.294818896246038
352,-3.6879686828265323
357,-6.488158818620731
373,-8.919536761855603
384,-6.0924679048709285
388,-8.53643481166909
391,-5.0597382682672825
399,-4.263208775317871
406,-5.30851674879939
412,-6.654384631840302
413,-1.4259145889462388
441,-8.481877994726672
445,-4.2766215674203805
460,-4.15180596828516
467,-0.22097985579943308
470,-8.807339564879328
474,-4.1028289442718995
478,-4.601637710149312
480,-6.989706055390552
482,-9.30267004198537
491,-5.6101224793860265
494,-5.33797953588647
495,-6.78386651071236
503,-1.9229675569976785
504,-1.0123763908722985
507,-6.42471694276582
512,0.6061218171929109
514,-7.877070802165238
516,-1.0592712944443936
517,-8.41087440259812
523,-3.845094646617905
524,-6.970880464057657
533,-6.038125965792452
549,-8.433825433077454
559,-5.86455640109762
566,-8.954205536418947
570,-9.251824391010938
582,-8.584691309635485
586,-9.06863302608305
590,-2.4051254343100448
593,-5.110868263416573
612,-7.289661392463849
615,-2.0711725187562724
633,-8.638234772730058
642,-3.562629766784245
644,-0.3969394106372342
646,-6.071192208680037
655,-12.106548734149435
666,-3.9749271007557647
673,-6.047777332633706
685,-8.224805390930893
702,-4.861298382739637
